week,state,state_name,disease,cases,incidence_per_capita
192804,SD,SOUTH DAKOTA,MEASLES,15,2.19
192804,TN,TENNESSEE,MEASLES,495,18.86
192804,TX,TEXAS,MEASLES,21,0.37
192804,UT,UTAH,MEASLES,1,0.2
192804,VT,VERMONT,MEASLES,24,6.7
192804,WA,WASHINGTON,MEASLES,198,12.77
192804,WI,WISCONSIN,MEASLES,48,1.64
192804,WV,WEST VIRGINIA,MEASLES,79,4.66
192804,WY,WYOMING,MEASLES,8,3.64
192805,AL,ALABAMA,MEASLES,212,8.03
192805,AR,ARKANSAS,MEASLES,384,20.79
192805,AZ,ARIZONA,MEASLES,2,0.47
192805,CA,CALIFORNIA,MEASLES,127,2.38
192805,CO,COLORADO,MEASLES,52,5.13
192805,CT,CONNECTICUT,MEASLES,265,16.8
192805,DC,DISTRICT OF COLUMBIA,MEASLES,22,4.59
192805,DE,DELAWARE,MEASLES,13,5.58
192805,FL,FLORIDA,MEASLES,7,0.49
192805,GA,GEORGIA,MEASLES,314,10.82
192805,IA,IOWA,MEASLES,75,3.06
192805,ID,IDAHO,MEASLES,1,0.22
192805,IL,ILLINOIS,MEASLES,84,1.11
192805,IN,INDIANA,MEASLES,80,2.49
192805,KS,KANSAS,MEASLES,28,1.51
192805,KY,KENTUCKY,MEASLES,205,7.99
192805,LA,LOUISIANA,MEASLES,212,10.27
192805,MA,MASSACHUSETTS,MEASLES,1486,35.24
192805,MD,MARYLAND,MEASLES,504,31.3
192805,ME,MAINE,MEASLES,63,7.9
192805,MI,MICHIGAN,MEASLES,459,9.84
192805,MN,MINNESOTA,MEASLES,8,0.31
192805,MO,MISSOURI,MEASLES,80,2.22
192805,NC,NORTH CAROLINA,MEASLES,3668,119.01
192805,ND,NORTH DAKOTA,MEASLES,6,0.9
192805,NE,NEBRASKA,MEASLES,3,0.22
192805,NH,NEW HAMPSHIRE,MEASLES,16,3.42
192805,NJ,NEW JERSEY,MEASLES,367,9.25
192805,NM,NEW MEXICO,MEASLES,157,37.74
192805,NY,NEW YORK,MEASLES,1234,10.64
192805,OH,OHIO,MEASLES,405,6.13
192805,OK,OKLAHOMA,MEASLES,108,4.61
192805,OR,OREGON,MEASLES,43,4.59
192805,PA,PENNSYLVANIA,MEASLES,1487,15.17
192805,RI,RHODE ISLAND,MEASLES,7,1.03
192805,SC,SOUTH CAROLINA,MEASLES,1304,74.99
192805,SD,SOUTH DAKOTA,MEASLES,27,3.94
192805,TN,TENNESSEE,MEASLES,526,20.05
192805,TX,TEXAS,MEASLES,89,1.57
192805,UT,UTAH,MEASLES,2,0.4
192805,VT,VERMONT,MEASLES,24,6.7
192805,WA,WASHINGTON,MEASLES,292,18.83
192805,WI,WISCONSIN,MEASLES,85,2.91
192805,WV,WEST VIRGINIA,MEASLES,125,7.37
192805,WY,WYOMING,MEASLES,2,0.91
192806,AL,ALABAMA,MEASLES,192,7.27
192806,AR,ARKANSAS,MEASLES,491,26.58
192806,AZ,ARIZONA,MEASLES,27,6.4
192806,CA,CALIFORNIA,MEASLES,149,2.79
192806,CO,COLORADO,MEASLES,82,8.09
192806,CT,CONNECTICUT,MEASLES,280,17.76
192806,DC,DISTRICT OF COLUMBIA,MEASLES,36,7.52
192806,DE,DELAWARE,MEASLES,8,3.43
192806,FL,FLORIDA,MEASLES,24,1.67
192806,GA,GEORGIA,MEASLES,196,6.75
192806,IA,IOWA,MEASLES,65,2.65
192806,IL,ILLINOIS,MEASLES,101,1.33
192806,IN,INDIANA,MEASLES,162,5.04
192806,KS,KANSAS,MEASLES,22,1.19
192806,KY,KENTUCKY,MEASLES,296,11.53
192806,LA,LOUISIANA,MEASLES,197,9.54
192806,MA,MASSACHUSETTS,MEASLES,1598,37.89
192806,MD,MARYLAND,MEASLES,563,34.97
192806,ME,MAINE,MEASLES,44,5.52
192806,MI,MICHIGAN,MEASLES,191,4.09
192806,MN,MINNESOTA,MEASLES,2,0.08
192806,MO,MISSOURI,MEASLES,97,2.69
192806,MT,MONTANA,MEASLES,3,0.55
192806,NC,NORTH CAROLINA,MEASLES,4734,153.6
192806,ND,NORTH DAKOTA,MEASLES,17,2.56
192806,NE,NEBRASKA,MEASLES,3,0.22
192806,NH,NEW HAMPSHIRE,MEASLES,73,15.6
192806,NJ,NEW JERSEY,MEASLES,423,10.66
192806,NM,NEW MEXICO,MEASLES,151,36.3
192806,NY,NEW YORK,MEASLES,1461,12.6
192806,OH,OHIO,MEASLES,352,5.33
192806,OK,OKLAHOMA,MEASLES,134,5.72
192806,OR,OREGON,MEASLES,46,4.91
192806,PA,PENNSYLVANIA,MEASLES,1129,11.52
192806,RI,RHODE ISLAND,MEASLES,5,0.74
192806,SC,SOUTH CAROLINA,MEASLES,1428,82.12
192806,SD,SOUTH DAKOTA,MEASLES,14,2.04
192806,TN,TENNESSEE,MEASLES,329,12.54
192806,TX,TEXAS,MEASLES,195,3.44
192806,UT,UTAH,MEASLES,3,0.6
192806,VT,VERMONT,MEASLES,4,1.12
192806,WA,WASHINGTON,MEASLES,275,17.73
192806,WI,WISCONSIN,MEASLES,95,3.25
192806,WV,WEST VIRGINIA,MEASLES,85,5.01
192806,WY,WYOMING,MEASLES,23,10.45
192807,AL,ALABAMA,MEASLES,264,10
192807,AR,ARKANSAS,MEASLES,605,32.76
192807,AZ,ARIZONA,MEASLES,4,0.95
192807,CA,CALIFORNIA,MEASLES,146,2.73
192807,CO,COLORADO,MEASLES,40,3.94
192807,CT,CONNECTICUT,MEASLES,318,20.16
192807,DC,DISTRICT OF COLUMBIA,MEASLES,61,12.73
192807,DE,DELAWARE,MEASLES,10,4.29
192807,FL,FLORIDA,MEASLES,19,1.33
192807,GA,GEORGIA,MEASLES,214,7.37
192807,IA,IOWA,MEASLES,56,2.29
192807,IL,ILLINOIS,MEASLES,103,1.36
192807,IN,INDIANA,MEASLES,141,4.39
192807,KS,KANSAS,MEASLES,31,1.68
192807,KY,KENTUCKY,MEASLES,253,9.86
192807,LA,LOUISIANA,MEASLES,166,8.04
192807,MA,MASSACHUSETTS,MEASLES,1833,43.47
192807,MD,MARYLAND,MEASLES,696,43.23
192807,ME,MAINE,MEASLES,29,3.64
192807,MI,MICHIGAN,MEASLES,572,12.26
192807,MN,MINNESOTA,MEASLES,5,0.19
192807,MO,MISSOURI,MEASLES,133,3.69
192807,ND,NORTH DAKOTA,MEASLES,4,0.6
192807,NE,NEBRASKA,MEASLES,3,0.22
192807,NH,NEW HAMPSHIRE,MEASLES,48,10.26
192807,NJ,NEW JERSEY,MEASLES,451,11.37
192807,NM,NEW MEXICO,MEASLES,163,39.18
192807,NY,NEW YORK,MEASLES,1723,14.85
192807,OH,OHIO,MEASLES,423,6.4
192807,OK,OKLAHOMA,MEASLES,220,9.39
192807,OR,OREGON,MEASLES,78,8.33
192807,PA,PENNSYLVANIA,MEASLES,1323,13.5
192807,RI,RHODE ISLAND,MEASLES,26,3.83
192807,SC,SOUTH CAROLINA,MEASLES,1430,82.23
192807,SD,SOUTH DAKOTA,MEASLES,21,3.07
192807,TN,TENNESSEE,MEASLES,457,17.42
192807,TX,TEXAS,MEASLES,118,2.08
192807,UT,UTAH,MEASLES,1,0.2
192807,VT,VERMONT,MEASLES,6,1.68
192807,WA,WASHINGTON,MEASLES,278,17.92
192807,WI,WISCONSIN,MEASLES,47,1.61
192807,WV,WEST VIRGINIA,MEASLES,118,6.96
192807,WY,WYOMING,MEASLES,15,6.82
192808,AL,ALABAMA,MEASLES,365,13.83
192808,AR,ARKANSAS,MEASLES,673,36.44
192808,AZ,ARIZONA,MEASLES,7,1.66
192808,CA,CALIFORNIA,MEASLES,151,2.83
192808,CO,COLORADO,MEASLES,44,4.34
192808,CT,CONNECTICUT,MEASLES,358,22.7
192808,DE,DELAWARE,MEASLES,4,1.72
192808,FL,FLORIDA,MEASLES,16,1.12
192808,GA,GEORGIA,MEASLES,325,11.2
192808,IA,IOWA,MEASLES,65,2.65
192808,IL,ILLINOIS,MEASLES,156,2.06
192808,IN,INDIANA,MEASLES,151,4.7
192808,KS,KANSAS,MEASLES,72,3.89
192808,KY,KENTUCKY,MEASLES,243,9.47
192808,LA,LOUISIANA,MEASLES,274,13.28
192808,MA,MASSACHUSETTS,MEASLES,1691,40.1
192808,MD,MARYLAND,MEASLES,750,46.58
192808,ME,MAINE,MEASLES,46,5.77
192808,MI,MICHIGAN,MEASLES,532,11.4
192808,MN,MINNESOTA,MEASLES,2,0.08
192808,MO,MISSOURI,MEASLES,159,4.42
192808,MT,MONTANA,MEASLES,2,0.37
192808,NC,NORTH CAROLINA,MEASLES,3877,125.79
192808,NE,NEBRASKA,MEASLES,7,0.51
192808,NJ,NEW JERSEY,MEASLES,790,19.91
192808,NM,NEW MEXICO,MEASLES,143,34.38
192808,NY,NEW YORK,MEASLES,1659,14.3
192808,OH,OHIO,MEASLES,538,8.14
192808,OK,OKLAHOMA,MEASLES,239,10.2
192808,OR,OREGON,MEASLES,72,7.69
192808,PA,PENNSYLVANIA,MEASLES,1047,10.68
192808,RI,RHODE ISLAND,MEASLES,63,9.29
192808,SC,SOUTH CAROLINA,MEASLES,1270,73.03
192808,SD,SOUTH DAKOTA,MEASLES,28,4.09
192808,TN,TENNESSEE,MEASLES,474,18.06
192808,TX,TEXAS,MEASLES,133,2.34
192808,UT,UTAH,MEASLES,3,0.6
192808,VT,VERMONT,MEASLES,4,1.12
192808,WA,WASHINGTON,MEASLES,279,17.99
192808,WI,WISCONSIN,MEASLES,80,2.74
192808,WV,WEST VIRGINIA,MEASLES,119,7.02
192809,AL,ALABAMA,MEASLES,292,11.06
192809,AR,ARKANSAS,MEASLES,626,33.89
192809,AZ,ARIZONA,MEASLES,4,0.95
192809,CA,CALIFORNIA,MEASLES,205,3.84
192809,CO,COLORADO,MEASLES,30,2.96
192809,CT,CONNECTICUT,MEASLES,358,22.7
192809,DC,DISTRICT OF COLUMBIA,MEASLES,113,23.59
192809,DE,DELAWARE,MEASLES,8,3.43
192809,FL,FLORIDA,MEASLES,11,0.77
192809,GA,GEORGIA,MEASLES,321,11.06
192809,IA,IOWA,MEASLES,16,0.65
192809,IL,ILLINOIS,MEASLES,151,1.99
192809,IN,INDIANA,MEASLES,190,5.92
192809,KS,KANSAS,MEASLES,42,2.27
192809,KY,KENTUCKY,MEASLES,241,9.39
192809,LA,LOUISIANA,MEASLES,247,11.97
192809,MA,MASSACHUSETTS,MEASLES,1993,47.26
192809,MD,MARYLAND,MEASLES,1012,62.86
192809,ME,MAINE,MEASLES,35,4.39
192809,MI,MICHIGAN,MEASLES,1135,24.33
192809,MN,MINNESOTA,MEASLES,13,0.5
192809,MO,MISSOURI,MEASLES,184,5.11
192809,MT,MONTANA,MEASLES,3,0.55
192809,NC,NORTH CAROLINA,MEASLES,3692,119.79
192809,ND,NORTH DAKOTA,MEASLES,7,1.05
192809,NE,NEBRASKA,MEASLES,8,0.58
192809,NH,NEW HAMPSHIRE,MEASLES,33,7.05
192809,NJ,NEW JERSEY,MEASLES,774,19.51
192809,NM,NEW MEXICO,MEASLES,168,40.38
192809,NY,NEW YORK,MEASLES,2108,18.17
192809,OH,OHIO,MEASLES,495,7.49
192809,OK,OKLAHOMA,MEASLES,257,10.96
192809,OR,OREGON,MEASLES,98,10.47
192809,PA,PENNSYLVANIA,MEASLES,1864,19.02
192809,RI,RHODE ISLAND,MEASLES,29,4.28
192809,SC,SOUTH CAROLINA,MEASLES,1237,71.13
192809,SD,SOUTH DAKOTA,MEASLES,39,5.69
192809,TN,TENNESSEE,MEASLES,201,7.66
192809,TX,TEXAS,MEASLES,671,11.82
192809,UT,UTAH,MEASLES,1,0.2
192809,VT,VERMONT,MEASLES,21,5.87
192809,WA,WASHINGTON,MEASLES,363,23.4
192809,WI,WISCONSIN,MEASLES,89,3.04
192809,WV,WEST VIRGINIA,MEASLES,87,5.13
192809,WY,WYOMING,MEASLES,10,4.55
192810,AL,ALABAMA,MEASLES,369,13.98
192810,AR,ARKANSAS,MEASLES,539,29.18
192810,AZ,ARIZONA,MEASLES,17,4.03
192810,CA,CALIFORNIA,MEASLES,284,5.31
192810,CO,COLORADO,MEASLES,41,4.04
192810,CT,CONNECTICUT,MEASLES,377,23.91
192810,DE,DELAWARE,MEASLES,10,4.29
192810,FL,FLORIDA,MEASLES,32,2.23
192810,GA,GEORGIA,MEASLES,236,8.13
192810,IA,IOWA,MEASLES,36,1.47
192810,IL,ILLINOIS,MEASLES,149,1.97
192810,IN,INDIANA,MEASLES,175,5.45
192810,KS,KANSAS,MEASLES,48,2.59
192810,KY,KENTUCKY,MEASLES,128,4.99
192810,LA,LOUISIANA,MEASLES,315,15.26
192810,MA,MASSACHUSETTS,MEASLES,1655,39.25
192810,MD,MARYLAND,MEASLES,951,59.07
192810,ME,MAINE,MEASLES,53,6.65
192810,MI,MICHIGAN,MEASLES,780,16.72
192810,MN,MINNESOTA,MEASLES,41,1.58
192810,MO,MISSOURI,MEASLES,239,6.64
192810,NC,NORTH CAROLINA,MEASLES,3662,118.82
192810,ND,NORTH DAKOTA,MEASLES,4,0.6
192810,NE,NEBRASKA,MEASLES,8,0.58
192810,NH,NEW HAMPSHIRE,MEASLES,17,3.63
192810,NJ,NEW JERSEY,MEASLES,996,25.1
192810,NM,NEW MEXICO,MEASLES,121,29.09
192810,NY,NEW YORK,MEASLES,1910,16.47
192810,OH,OHIO,MEASLES,934,14.13
192810,OK,OKLAHOMA,MEASLES,395,16.85
192810,OR,OREGON,MEASLES,24,2.56
192810,PA,PENNSYLVANIA,MEASLES,924,9.43
192810,RI,RHODE ISLAND,MEASLES,69,10.18
192810,SC,SOUTH CAROLINA,MEASLES,1256,72.23
192810,SD,SOUTH DAKOTA,MEASLES,20,2.92
192810,TN,TENNESSEE,MEASLES,338,12.88
192810,TX,TEXAS,MEASLES,439,7.74
192810,UT,UTAH,MEASLES,4,0.79
192810,VT,VERMONT,MEASLES,47,13.13
192810,WA,WASHINGTON,MEASLES,308,19.86
192810,WI,WISCONSIN,MEASLES,120,4.11
192810,WV,WEST VIRGINIA,MEASLES,197,11.62
192810,WY,WYOMING,MEASLES,110,50
192811,AL,ALABAMA,MEASLES,496,18.79
192811,AR,ARKANSAS,MEASLES,385,20.84
192811,AZ,ARIZONA,MEASLES,31,7.35
192811,CA,CALIFORNIA,MEASLES,187,3.5
192811,CO,COLORADO,MEASLES,34,3.35
192811,CT,CONNECTICUT,MEASLES,398,25.24
192811,DE,DELAWARE,MEASLES,15,6.44
192811,FL,FLORIDA,MEASLES,48,3.35
192811,GA,GEORGIA,MEASLES,187,6.44
192811,IA,IOWA,MEASLES,29,1.18
192811,IL,ILLINOIS,MEASLES,260,3.43
192811,IN,INDIANA,MEASLES,199,6.2
192811,KS,KANSAS,MEASLES,72,3.89
192811,KY,KENTUCKY,MEASLES,279,10.87
192811,LA,LOUISIANA,MEASLES,267,12.94
192811,MA,MASSACHUSETTS,MEASLES,1860,44.11
192811,MD,MARYLAND,MEASLES,1189,73.85
192811,ME,MAINE,MEASLES,66,8.28
192811,MI,MICHIGAN,MEASLES,1619,34.71
192811,MN,MINNESOTA,MEASLES,100,3.86
192811,MO,MISSOURI,MEASLES,200,5.55
192811,MT,MONTANA,MEASLES,1,0.18
192811,NC,NORTH CAROLINA,MEASLES,3246,105.32
192811,NE,NEBRASKA,MEASLES,15,1.09
192811,NH,NEW HAMPSHIRE,MEASLES,16,3.42
192811,NJ,NEW JERSEY,MEASLES,1131,28.5
192811,NY,NEW YORK,MEASLES,2373,20.46
192811,OH,OHIO,MEASLES,865,13.09
192811,OK,OKLAHOMA,MEASLES,325,13.87
192811,OR,OREGON,MEASLES,115,12.29
192811,PA,PENNSYLVANIA,MEASLES,1415,14.44
192811,RI,RHODE ISLAND,MEASLES,80,11.8
192811,SC,SOUTH CAROLINA,MEASLES,1020,58.65
192811,SD,SOUTH DAKOTA,MEASLES,14,2.04
192811,TN,TENNESSEE,MEASLES,298,11.36
192811,TX,TEXAS,MEASLES,125,2.2
192811,UT,UTAH,MEASLES,2,0.4
192811,VT,VERMONT,MEASLES,31,8.66
192811,WA,WASHINGTON,MEASLES,273,17.6
192811,WI,WISCONSIN,MEASLES,134,4.58
192811,WV,WEST VIRGINIA,MEASLES,112,6.6
192811,WY,WYOMING,MEASLES,56,25.45
192812,AL,ALABAMA,MEASLES,586,22.2
192812,AR,ARKANSAS,MEASLES,506,27.4
192812,AZ,ARIZONA,MEASLES,27,6.4
192812,CA,CALIFORNIA,MEASLES,234,4.38
192812,CO,COLORADO,MEASLES,25,2.47
192812,CT,CONNECTICUT,MEASLES,301,19.09
192812,DC,DISTRICT OF COLUMBIA,MEASLES,182,38
192812,DE,DELAWARE,MEASLES,21,9.01
192812,FL,FLORIDA,MEASLES,70,4.88
192812,GA,GEORGIA,MEASLES,105,3.62
192812,IA,IOWA,MEASLES,36,1.47
192812,IL,ILLINOIS,MEASLES,232,3.06
192812,IN,INDIANA,MEASLES,280,8.72
192812,KS,KANSAS,MEASLES,87,4.7
192812,KY,KENTUCKY,MEASLES,240,9.35
192812,LA,LOUISIANA,MEASLES,374,18.12
192812,MA,MASSACHUSETTS,MEASLES,1869,44.32
192812,MD,MARYLAND,MEASLES,1163,72.24
192812,ME,MAINE,MEASLES,33,4.14
192812,MI,MICHIGAN,MEASLES,1536,32.93
192812,MN,MINNESOTA,MEASLES,82,3.16
192812,MO,MISSOURI,MEASLES,339,9.41
192812,MT,MONTANA,MEASLES,1,0.18
192812,NC,NORTH CAROLINA,MEASLES,3290,106.75
192812,NE,NEBRASKA,MEASLES,69,5.03
192812,NH,NEW HAMPSHIRE,MEASLES,16,3.42
192812,NJ,NEW JERSEY,MEASLES,1307,32.94
192812,NM,NEW MEXICO,MEASLES,142,34.13
192812,NY,NEW YORK,MEASLES,2548,21.97
192812,OH,OHIO,MEASLES,1071,16.21
192812,OK,OKLAHOMA,MEASLES,287,12.24
192812,OR,OREGON,MEASLES,125,13.35
192812,PA,PENNSYLVANIA,MEASLES,1345,13.72
192812,RI,RHODE ISLAND,MEASLES,91,13.42
192812,SC,SOUTH CAROLINA,MEASLES,950,54.63
192812,TN,TENNESSEE,MEASLES,281,10.71
192812,TX,TEXAS,MEASLES,491,8.65
192812,UT,UTAH,MEASLES,11,2.18
192812,VT,VERMONT,MEASLES,98,27.37
192812,WA,WASHINGTON,MEASLES,278,17.92
192812,WI,WISCONSIN,MEASLES,106,3.63
192812,WV,WEST VIRGINIA,MEASLES,120,7.08
192812,WY,WYOMING,MEASLES,45,20.45
192813,AL,ALABAMA,MEASLES,580,21.97
192813,AR,ARKANSAS,MEASLES,556,30.1
192813,AZ,ARIZONA,MEASLES,33,7.82
192813,CA,CALIFORNIA,MEASLES,184,3.44
192813,CO,COLORADO,MEASLES,44,4.34
192813,CT,CONNECTICUT,MEASLES,317,20.1
192813,DE,DELAWARE,MEASLES,19,8.15
192813,FL,FLORIDA,MEASLES,66,4.61
192813,GA,GEORGIA,MEASLES,259,8.92
192813,IA,IOWA,MEASLES,55,2.24
192813,IL,ILLINOIS,MEASLES,180,2.38
192813,IN,INDIANA,MEASLES,204,6.35
192813,KS,KANSAS,MEASLES,115,6.22
192813,KY,KENTUCKY,MEASLES,399,15.54
192813,LA,LOUISIANA,MEASLES,250,12.11
192813,MA,MASSACHUSETTS,MEASLES,1930,45.77
192813,MD,MARYLAND,MEASLES,1020,63.35
192813,ME,MAINE,MEASLES,73,9.16
192813,MI,MICHIGAN,MEASLES,1376,29.5
